playerId,name,fullName,nationality,role,battingHand,playerJsonBowlingType,playerJsonBowlingHand,playerJsonBowlingStyle,metadataFoundForSameId,metadataName,metadataCountry,metadataBowlingType,metadataBowlingHand,metadataBowlingStyle,hasCricsheetRegisterMatch,cricsheetId
1210511,Nahid Rana,Nahid Rana,Bangladesh,bowler,right,pace,right,Right-arm fast,yes,Nahid Rana,Bangladesh,pace,right,Right-arm fast,yes,5318ee68
348049,Nasum Ahmed,Nasum Ahmed,Bangladesh,bowler,left,spin,left,Slow left-arm orthodox,yes,Nasum Ahmed,Bangladesh,spin,left,Slow left-arm orthodox,yes,37654b75
932635,Nayeem Hasan,Mohammad Nayeem Hasan,Bangladesh,bowler,right,spin,right,Off Break,yes,Nayeem Hasan,Bangladesh,spin,right,Right-arm offbreak,yes,1670dcfd
410765,Nurul Hasan,Quazi Nurul Hasan Sohan,Bangladesh,wicketkeeper-batsman,right,,,,yes,Nurul Hasan,Bangladesh,,,,yes,d365d463
1139511,Parvez Hossain Emon,Mohammad Parvez Hossain Emon,Bangladesh,batsman,left,,,,yes,Parvez Hossain Emon,Bangladesh,,,,yes,489aaf0a
1276980,Ripon Mondol,Ripon Mondol,Bangladesh,bowler,right,pace,right,Right-arm medium,yes,Ripon Mondol,Bangladesh,pace,right,Right-arm medium,yes,492ff0c2
1139523,Rishad Hossain,Mohammad Rishad Hossain,Bangladesh,all-rounder,right,spin,right,Leg Break Googly,yes,Rishad Hossain,Bangladesh,spin,right,Legbreak googly,yes,5935d694
300617,Rony Talukdar,Rony Talukdar,Bangladesh,batsman,right,pace,right,Right-arm medium,yes,Rony Talukdar,Bangladesh,pace,right,Right-arm slow-medium,yes,8bd614b2
373538,Sabbir Rahman,Mohammad Sabbir Rahman,Bangladesh,batsman,right,spin,right,Leg Break,yes,Sabbir Rahman,Bangladesh,spin,right,Legbreak,yes,7147f314
821749,Saif Hassan,Mohammad Saif Hassan,Bangladesh,batsman,right,spin,right,Off Break,yes,Saif Hassan,Bangladesh,spin,right,Right-arm offbreak,yes,bb95564b
629057,Shadman Islam,Shadman Islam Anik,Bangladesh,batsman,left,spin,left,Slow left-arm orthodox,yes,Shadman Islam,Bangladesh,spin,left,Slow left-arm orthodox,yes,246d11a2
56149,Shahadat Hossain,Shahadat Hossain Dipu,Bangladesh,batsman,right,spin,right,Off Break,no,,,,,,yes,090f9211
1161044,Shamim Hossain,Shamim Hossain Patwari,Bangladesh,batsman,left,spin,right,Off Break,yes,Shamim Hossain,Bangladesh,spin,right,Right-arm offbreak,yes,711249d1
56125,Shohidul Islam,MD Shohidul Islam,Bangladesh,bowler,right,pace,right,Right-arm medium,yes,Shohidul Islam,Bangladesh,pace,right,Right-arm medium,yes,607ed7c2
990039,Shoriful Islam,Mohammad Shoriful Islam,Bangladesh,bowler,left,pace,left,Left-arm fast-medium,yes,Shoriful Islam,Bangladesh,pace,left,Left-arm fast-medium,yes,bb34fd31
